172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/styles/images/is-home-bg.gif HTTP/1.1" 200 149 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/user-registration/images/sign-up.gif HTTP/1.1" 200 1030 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/relyingparty/images/signin.gif HTTP/1.1" 200 995 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/styles/images/is-header-logo.png HTTP/1.1" 200 5159 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/images/help.gif HTTP/1.1" 200 411 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:16 +0200] "POST /carbon/admin/login_action.jsp HTTP/1.1" 302 - "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:17 +0200] "GET /carbon/admin/index.jsp?loginStatus=true HTTP/1.1" 200 4234 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:17 +0200] "GET /carbon/admin/jsp/registry_styles_ajaxprocessor.jsp HTTP/1.1" 200 123 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/entitlement/images/publish.gif HTTP/1.1" 200 619 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/entitlement/images/evaluate.png HTTP/1.1" 200 714 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/entitlement/images/policy.gif HTTP/1.1" 200 1017 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/entitlement/images/config.gif HTTP/1.1" 200 1006 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/entitlement/images/policies.gif HTTP/1.1" 200 387 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/userstore/images/user-store.gif HTTP/1.1" 200 617 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/feature-mgt/images/comp-manager.gif HTTP/1.1" 200 580 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/claim-mgt/images/claimmgt.gif HTTP/1.1" 200 1046 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/entitlement/images/search-top.png HTTP/1.1" 200 785 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/xkms/images/xkms.gif HTTP/1.1" 200 1045 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/idpmgt/images/trust.png HTTP/1.1" 200 775 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/log-admin/images/log.gif HTTP/1.1" 200 596 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/admin/jsp/session-validate.jsp HTTP/1.1" 200 3628 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/userstore_config/images/multiple-user-stores.png HTTP/1.1" 200 783 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/keystoremgt/images/keystore.gif HTTP/1.1" 200 604 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/tenant-mgt/images/services.gif HTTP/1.1" 200 604 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/roles-mgt/images/server-role.gif HTTP/1.1" 200 1073 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
